epoch,train_bce,train_dice_loss,train_loss,val_bce,val_dice_loss,val_loss,val_pixel_dice
1,0.5221002877832533,0.8572053468979157,1.3793056376345523,0.4090194957596915,0.8284403511456081,1.2374598639351981,0.5875856620924813
2,0.3565460019283467,0.804436524172087,1.1609825239525184,0.2900168640272958,0.7770940916878837,1.0671109301703317,0.7248070154871259
3,0.2659014542629053,0.756618269391962,1.0225197259370271,0.23873004743031093,0.7493207028933934,0.9880507503237043,0.7083280427115304
4,0.1996233832460266,0.705270292522671,0.904893679124815,0.19246267633778708,0.6521821277482169,0.844644810472216,0.7099478415080479
5,0.15101415073280935,0.6372912563719191,0.7883054055609144,0.1452329627105168,0.5989487171173096,0.7441816840853009,0.7321257506098066
6,0.11660465322904759,0.5810574282397021,0.6976620834152978,0.1270852865917342,0.5577373845236642,0.6848226700510297,0.6948207787105015
7,0.09507431459050995,0.5160202985411292,0.6110946162863895,0.119272309754576,0.5172295144626072,0.6365018316677639,0.6691931571279254
8,0.07967405722619177,0.45181678759085164,0.5314908446492376,0.1001451388001442,0.4677012392452785,0.567846383367266,0.7018041014671326
9,0.07188143064309885,0.4014473374899443,0.47332876813304314,0.08057028587375369,0.3778979352542332,0.45846822006361826,0.7489671451704842
10,0.06634859777651392,0.36405728582863334,0.43040588310172967,0.06671054395181793,0.3481650267328535,0.41487557121685575,0.7499463302748544
11,0.06424839277793695,0.3328826921480196,0.3971310845903448,0.10598985318626676,0.3624171018600464,0.4684069497244699,0.7072057553700039
12,0.06236032319364247,0.32085141083141705,0.38321173271617376,0.06666114553809166,0.31892634289605276,0.3855874879019601,0.7412321312086922
13,0.059856149695209554,0.28825118090655355,0.3481073315079148,0.07763919872897011,0.3018136705671038,0.3794528714248112,0.7491450650351388
14,0.05998237833783433,0.280655080670709,0.34063745860580924,0.06443675022040095,0.28844012532915386,0.3528768760817392,0.7552830151149205
15,0.05859741796781351,0.27034421010060355,0.3289416271287042,0.06858785450458527,0.2741389444896153,0.34272679686546326,0.763206422328949
16,0.057975923424368504,0.26103543214969804,0.3190113547685984,0.0641220999615533,0.2581343395369394,0.32225643736975534,0.7750298466001239
17,0.058160448430089266,0.24993503254813118,0.30809548134739334,0.07166013600570816,0.27075739417757305,0.3424175339085715,0.7768955315862384
18,0.05820432528517805,0.2504426708092561,0.30864699507081833,0.06925991071122033,0.2609735301562718,0.33023344193186077,0.76748469046184
19,0.05720191583171621,0.24201869857203853,0.2992206133969195,0.07882311195135117,0.2737354040145874,0.35255851064409527,0.7516708288873944
20,0.05619476621483897,0.22828683283951906,0.28448159710780996,0.07965538225003652,0.28824698073523386,0.36790236830711365,0.7343461768967765
21,0.055391952630367364,0.2319203309110693,0.28731228344075316,0.06815712739314352,0.23950506108147757,0.3076621890068054,0.7805717161723545
22,0.05436635460402515,0.21394901501165853,0.2683153696156837,0.07977714974965368,0.24727790696280344,0.32705504979406086,0.7708887372698102
23,0.054481716776216355,0.21436240866377548,0.2688441251043801,0.08186330593058042,0.27520095450537546,0.35706426416124615,0.7405167477471488
24,0.054718177429996094,0.21430269179043468,0.2690208700594601,0.08079875579902104,0.2650784509522574,0.3458772088800158,0.7540636743818011
25,0.05519262469700865,0.21616277555087665,0.27135539994583474,0.06997642666101456,0.24109343120029994,0.3110698546682085,0.7767019016402108
26,0.05469512347098406,0.2077122486389435,0.26240737239519757,0.0816120377608708,0.27448798928942,0.3561000313077654,0.7390344398362296
27,0.054900670273078454,0.20782322389585478,0.26272389440386146,0.07996273040771484,0.25864996228899273,0.3386126926967076,0.7583690115383693
28,0.053381752088531714,0.2089049987964802,0.2622867512541848,0.06792206796152252,0.26080664566584993,0.32872871841703144,0.7731905664716449
29,0.05193402228860168,0.19687080490696537,0.2488048275311788,0.07955103048256465,0.24553899254117692,0.3250900208950043,0.767566842692239
30,0.05192762096454431,0.20418637346577,0.25611399396045786,0.075168605361666,0.2525166784014021,0.3276852880205427,0.7594114967754909
31,0.05194841103779303,0.20005203582145073,0.25200044638938734,0.090419168983187,0.2638306362288339,0.35424979669707163,0.7500750763075692
32,0.05181093841187052,0.20080138863743963,0.2526123269989684,0.07189543545246124,0.24788944210324967,0.3197848839419229,0.7639831389699664
33,0.05126254658239919,0.19686849106539478,0.24813103648993345,0.08650458071913038,0.2523152232170105,0.33881980180740356,0.7625796369143895
34,0.05068572216272891,0.18816436948002996,0.2388500912232442,0.0822750957948821,0.28144087961741854,0.3637159764766693,0.7299604841641018
35,0.05321055038219637,0.19494871889148746,0.2481592686863633,0.08947761143956866,0.28167527062552317,0.37115288206509184,0.7292592866080148
36,0.05139968170037678,0.196197645084278,0.24759732643226245,0.08185584630284991,0.23938857657568796,0.3212444228785379,0.7722779767853873
37,0.05039104475295759,0.1856755130999797,0.23606655820532962,0.0736771465412208,0.23097911051341466,0.30465625865118845,0.7821986334664481
38,0.05113317632863113,0.18398401597598651,0.23511719220393412,0.0799170093876975,0.2629559636116028,0.34287297299930025,0.7480906077793666
39,0.05005899937571706,0.1857286294301351,0.23578762833599573,0.08842092220272336,0.2638959118298122,0.35231682658195496,0.7498786534581866
40,0.051588878924916454,0.18981784421044426,0.2414067227829684,0.07576605411512512,0.23881372383662633,0.31457977635519846,0.7730138727596828
41,0.05039443357570751,0.1868869898555515,0.23728142235730146,0.0961201936006546,0.28035145146506174,0.37647164293697905,0.7312726037842887
42,0.051347159755391045,0.1925082920907854,0.24385545154412588,0.08103498656834875,0.25547778606414795,0.33651276997157503,0.7552779146603176
43,0.04839463199715357,0.18491342314728745,0.23330805417116698,0.07108951359987259,0.2470042450087411,0.3180937511580331,0.764235121863229
44,0.04893491630283025,0.18247175162976925,0.23140666815074715,0.07978906163147517,0.23398696524756296,0.31377602900777546,0.7780701858656747
45,0.04852071761883594,0.1793692675796715,0.2278899847118704,0.08564892730542592,0.24709043332508632,0.3327393574374063,0.7650800858225141
46,0.04881273097618743,0.17738951863469304,0.22620224939273284,0.07557826435991696,0.25972249678203035,0.3353007563522884,0.7510216236114502
47,0.04810546484549303,0.18221212077785182,0.23031758577437014,0.08399884615625654,0.2580839310373579,0.3420827771936144,0.7533427051135472
48,0.0489288141095155,0.18241108215606963,0.23133989712139508,0.06934607135398048,0.2739332062857492,0.343279276575361,0.7544896006584167
49,0.04679942313950878,0.17599395051732794,0.22279337357293377,0.08154669829777308,0.25714944090162006,0.3386961306844439,0.7520852344376701
50,0.046317295313955426,0.16604329605360288,0.2123605923072712,0.08991323092154094,0.2554414527756827,0.3453546805041177,0.7528518693787711
51,0.046726977695954276,0.17746562732232585,0.2241926036171011,0.0780237466096878,0.25424362080437796,0.33226736528532846,0.7557505965232849
52,0.04723137541598565,0.17734310916952184,0.22457448440092104,0.07086923505578722,0.25814166239329744,0.3290108953203474,0.7512207116399493
53,0.04774172223164692,0.16924216081430246,0.21698388336478053,0.08587176778486796,0.2579620735985892,0.34383383819035124,0.7499987227576119
